Timestamp,Distance (cm)
1722230684.6098921,254.29
1722230684.769248,996.22
1722230684.884799,254.27
1722230685.0002801,255.12
1722230685.1158621,255.09
1722230685.231402,254.68
1722230685.390929,996.28
1722230685.5064251,254.27
1722230685.621962,254.68
1722230685.73743,255.1
1722230685.8970082,996.27
1722230686.012567,255.41
1722230686.1723242,996.27
1722230686.287669,254.97
1722230686.4029791,254.64
1722230686.518498,255.51
1722230686.6780648,996.28
1722230686.837829,996.25
1722230686.99729,996.32
1722230687.11254,252.57
1722230687.228145,254.27
1722230687.34355,250.89
1722230687.459,254.25
1722230687.618583,996.17
1722230687.7780852,996.34
1722230687.937632,996.23
1722230688.0530891,255.1
1722230688.168573,254.25
1722230688.284056,254.25
1722230688.3997061,254.68
1722230688.514959,254.64
1722230688.6306372,254.66
1722230688.745982,250.89
1722230688.8616042,254.56
1722230688.9770088,255.1
1722230689.092573,255.39
1722230689.2081401,254.68
1722230689.323638,254.27
1722230689.4831092,996.35
1722230689.598531,254.27
1722230689.713962,253.44
1722230689.829566,254.27
1722230689.9451652,255.48
1722230690.0604649,254.25
1722230690.175771,251.29
1722230690.335308,996.3
1722230690.450697,252.16
1722230690.610378,996.4
1722230690.76993,996.28
1722230690.885354,254.27
1722230691.000625,250.89
1722230691.11618,254.25
1722230691.275727,996.32
1722230691.391052,251.75
1722230691.506429,254.25
1722230691.666076,996.35
1722230691.8256729,996.3
1722230691.940948,252.13
1722230692.10063,996.22
1722230692.260127,996.34
1722230692.419611,996.34
1722230692.535007,252.55
1722230692.650273,252.16
1722230692.765964,256.31
1722230692.881353,251.72
1722230692.996672,251.7
1722230693.1562738,996.42
1722230693.2716548,251.74
1722230693.431205,996.27
1722230693.590623,996.37
1722230693.750282,996.32
1722230693.8655381,252.14
1722230693.980931,251.29
1722230694.1404889,996.25
1722230694.3000221,996.39
1722230694.459563,996.2
1722230694.618986,996.42
1722230694.778582,996.39
1722230694.93807,996.32
1722230695.09744,996.32
1722230695.25716,996.44
1722230695.41655,996.37
1722230695.576053,996.37
1722230695.7358358,996.44
1722230695.895342,996.39
1722230696.05478,996.4
1722230696.2143638,996.37
1722230696.373836,996.27
1722230696.5333602,996.3
1722230696.64865,251.7
1722230696.808278,996.34
1722230696.923553,251.72
1722230697.083189,996.28
1722230697.2425501,996.34
1722230697.358022,252.13
1722230697.517545,996.42
1722230697.677122,996.27
1722230697.8366148,996.39
1722230697.9961212,996.34
1722230698.155505,996.37
1722230698.3152251,996.28
1722230698.474692,996.32
1722230698.634221,996.32
1722230698.793736,996.42
1722230698.9533818,996.32
1722230699.068702,252.14
1722230699.184105,254.64
1722230699.343692,996.35
1722230699.45909,251.75
1722230699.618467,996.37
1722230699.734015,251.7
1722230699.84922,251.4
1722230700.008716,996.32
1722230700.1683042,996.28
1722230700.283721,253.4
1722230700.3992152,254.24
1722230700.514563,251.72
1722230700.6297832,251.31
1722230700.745135,253.42
1722230700.860626,253.4
1722230700.9762292,254.24
1722230701.091709,254.25
1722230701.207275,254.57
1722230701.322849,254.25
1722230701.438256,254.12
1722230701.55371,254.27
1722230701.669319,254.25
1722230701.8288379,996.34
1722230701.94418,254.15
1722230702.059818,255.09
1722230702.175362,254.57
1722230702.2908769,255.09
1722230702.4062269,251.4
1722230702.565878,996.23
1722230702.681282,254.24
1722230702.796791,254.25
1722230702.9122188,254.98
1722230703.071657,996.23
1722230703.1873422,255.83
1722230703.302881,255.49
1722230703.4183848,254.25
1722230703.5339148,254.25
1722230703.6493802,254.69
1722230703.80898,996.28
1722230703.9244952,254.69
1722230704.039996,254.25
1722230704.155715,256.34
1722230704.271174,254.27
1722230704.3866649,254.27
1722230704.5021582,254.27
1722230704.6177049,254.68
1722230704.7330308,250.87
1722230704.848512,254.25
1722230705.00815,996.32
1722230705.123625,254.25
1722230705.2390862,254.25
1722230705.35451,254.25
1722230705.469951,251.33
1722230705.6294599,996.32
1722230705.7889762,996.44
1722230705.948622,996.4
1722230706.1079638,996.39
1722230706.267616,996.39
1722230706.382894,250.92
