time,value
2024-09-02T14:40:17.308602824Z,{"lat":-37.822057259619406,"lon":145.11370494235476}
2024-09-02T14:40:18.322177241Z,{"lat":-37.82205941118283,"lon":145.11369791998666}
2024-09-02T14:40:19.337269261Z,{"lat":-37.8220589493327,"lon":145.11370259218202}
2024-09-02T14:40:20.355131823Z,{"lat":-37.82205793830457,"lon":145.11370651393216}
2024-09-02T14:40:21.365814843Z,{"lat":-37.82206154119779,"lon":145.11370205402818}
2024-09-02T14:40:22.381867371Z,{"lat":-37.82206191698114,"lon":145.11370049480692}
2024-09-02T14:40:23.401358503Z,{"lat":-37.82206746372297,"lon":145.11369781295355}
2024-09-02T14:40:24.414876146Z,{"lat":-37.822066949223256,"lon":145.11369834436874}
2024-09-02T14:40:25.431919846Z,{"lat":-37.82206568689688,"lon":145.1137031089052}
2024-09-02T14:40:26.444904181Z,{"lat":-37.82206306259868,"lon":145.1136959925752}
2024-09-02T14:40:27.460282289Z,{"lat":-37.8220653113409,"lon":145.11369636451047}
2024-09-02T14:40:28.477381308Z,{"lat":-37.82206509507864,"lon":145.11370163307112}
2024-09-02T14:40:29.492511439Z,{"lat":-37.82206768907483,"lon":145.1137025393515}
2024-09-02T14:40:30.504802105Z,{"lat":-37.82206804057002,"lon":145.11369981959754}
2024-09-02T14:40:31.524361447Z,{"lat":-37.822068691675604,"lon":145.11369915342652}
2024-09-02T14:40:32.537612829Z,{"lat":-37.82206756264494,"lon":145.11369910432086}
2024-09-02T14:40:33.551597266Z,{"lat":-37.822071644533096,"lon":145.11369664728346}
2024-09-02T14:40:34.571521182Z,{"lat":-37.8220675549189,"lon":145.11370036181646}
2024-09-02T14:40:35.581226926Z,{"lat":-37.82207033418071,"lon":145.11371371873398}
2024-09-02T14:40:36.606055601Z,{"lat":-37.82206327896692,"lon":145.11370670108414}
2024-09-02T14:40:37.61330222Z,{"lat":-37.82206307553156,"lon":145.1137035235348}
2024-09-02T14:40:38.633369721Z,{"lat":-37.82206231162188,"lon":145.11370263462805}
2024-09-02T14:40:39.65076484Z,{"lat":-37.822066365100206,"lon":145.11370028972695}
2024-09-02T14:40:40.659465829Z,{"lat":-37.82206349932795,"lon":145.11370058632386}
2024-09-02T14:40:41.678183366Z,{"lat":-37.82206457636325,"lon":145.11370112016414}
2024-09-02T14:40:42.698831743Z,{"lat":-37.82206704636931,"lon":145.11369349847234}
2024-09-02T14:40:43.706926755Z,{"lat":-37.82206689153176,"lon":145.11369168424758}
2024-09-02T14:40:44.726764711Z,{"lat":-37.822067411645605,"lon":145.11369664871026}
2024-09-02T14:40:45.738492682Z,{"lat":-37.822068014114315,"lon":145.11369484499548}
2024-09-02T14:40:46.751829075Z,{"lat":-37.82206387699399,"lon":145.11369224122117}
2024-09-02T14:40:47.768290488Z,{"lat":-37.82206496257841,"lon":145.113690312584}
2024-09-02T14:40:48.786001165Z,{"lat":-37.82206387804487,"lon":145.1136952763088}
2024-09-02T14:40:49.80095603Z,{"lat":-37.822058800555034,"lon":145.1136941909328}
2024-09-02T14:40:50.81417292Z,{"lat":-37.82205749383571,"lon":145.1136990591994}
2024-09-02T14:40:51.831206701Z,{"lat":-37.82205927675417,"lon":145.1137044194923}
2024-09-02T14:40:52.844817839Z,{"lat":-37.82206102143515,"lon":145.1137059083548}
2024-09-02T14:40:53.861101134Z,{"lat":-37.82206048238094,"lon":145.1137062329295}
2024-09-02T14:40:54.876684558Z,{"lat":-37.822064786468474,"lon":145.11370447885363}
2024-09-02T14:40:55.89064916Z,{"lat":-37.82206741849954,"lon":145.11371258001307}
2024-09-02T14:40:56.905757306Z,{"lat":-37.82206265539734,"lon":145.11370206649207}
2024-09-02T14:40:57.915177732Z,{"lat":-37.82206385922414,"lon":145.1137000097344}
2024-09-02T14:40:58.93732547Z,{"lat":-37.82206310699394,"lon":145.11370320508868}
2024-09-02T14:40:59.950382963Z,{"lat":-37.82206806727397,"lon":145.1137033828451}
2024-09-02T14:41:00.975007979Z,{"lat":-37.82206505127775,"lon":145.11370483381097}
2024-09-02T14:41:01.986287279Z,{"lat":-37.82206505127775,"lon":145.11370483381097}
2024-09-02T14:41:02.999903133Z,{"lat":-37.82206505127775,"lon":145.11370483381097}
2024-09-02T14:41:04.014018871Z,{"lat":-37.82206505127775,"lon":145.11370483381097}
2024-09-02T14:41:05.019100884Z,{"lat":-37.8220562088455,"lon":145.11370403904345}
2024-09-02T14:41:06.060677739Z,{"lat":-37.822055006574026,"lon":145.1137009620501}
2024-09-02T14:41:07.059390921Z,{"lat":-37.82205478664399,"lon":145.11370358057047}
2024-09-02T14:41:08.076147041Z,{"lat":-37.822055040708804,"lon":145.11370159671594}
2024-09-02T14:41:09.094227475Z,{"lat":-37.82205914240984,"lon":145.1136988122911}
2024-09-02T14:41:10.109503269Z,{"lat":-37.822059718929346,"lon":145.113701873966}
2024-09-02T14:41:11.125284368Z,{"lat":-37.8220611370849,"lon":145.1137034079322}
2024-09-02T14:41:12.13870131Z,{"lat":-37.8220604379996,"lon":145.1137028328407}
2024-09-02T14:41:13.15486091Z,{"lat":-37.82206168477829,"lon":145.11370460709406}
2024-09-02T14:41:14.169738378Z,{"lat":-37.82206387370864,"lon":145.11370329591495}
2024-09-02T14:41:15.189026497Z,{"lat":-37.82206537396331,"lon":145.1137004793515}
2024-09-02T14:41:16.200032208Z,{"lat":-37.822066234449515,"lon":145.11370173603422}
2024-09-02T14:41:17.218054256Z,{"lat":-37.82207016354578,"lon":145.11370198036298}
2024-09-02T14:41:18.233723913Z,{"lat":-37.82206767713183,"lon":145.1136995471185}
2024-09-02T14:41:19.253943991Z,{"lat":-37.8220707084848,"lon":145.11370037568668}
2024-09-02T14:41:20.261570391Z,{"lat":-37.82207523370126,"lon":145.1137065313987}
2024-09-02T14:41:21.281060872Z,{"lat":-37.82207162509854,"lon":145.11370640451594}
2024-09-02T14:41:22.302451635Z,{"lat":-37.822070724542485,"lon":145.11370501273254}
2024-09-02T14:41:23.309267846Z,{"lat":-37.8220723817959,"lon":145.11370366853342}
2024-09-02T14:41:24.32239961Z,{"lat":-37.82207490246932,"lon":145.1137027709086}
2024-09-02T14:41:25.347232397Z,{"lat":-37.82207381511095,"lon":145.11370284070065}
2024-09-02T14:41:26.356415339Z,{"lat":-37.82206876733215,"lon":145.11370003879858}
2024-09-02T14:41:27.374800939Z,{"lat":-37.8220702503181,"lon":145.11369845210442}
2024-09-02T14:41:28.388941395Z,{"lat":-37.822074886300506,"lon":145.11370090616768}
2024-09-02T14:41:29.392045207Z,{"lat":-37.82208265267532,"lon":145.11369731012778}
2024-09-02T14:41:31.164515504Z,{"lat":-37.82206757562557,"lon":145.11369896167398}
2024-09-02T14:41:32.168117246Z,{"lat":-37.822064742554524,"lon":145.11370006167607}
2024-09-02T14:41:33.188117876Z,{"lat":-37.82206201024076,"lon":145.11369961979034}
2024-09-02T14:41:34.199111749Z,{"lat":-37.822058815606916,"lon":145.11370038943377}
2024-09-02T14:41:35.218509669Z,{"lat":-37.8220642852329,"lon":145.11369979284478}
2024-09-02T14:41:36.235436139Z,{"lat":-37.82206520657624,"lon":145.11369074855617}
2024-09-02T14:41:37.244570151Z,{"lat":-37.82206999845978,"lon":145.11368187397096}
2024-09-02T14:41:38.264564376Z,{"lat":-37.82206574266737,"lon":145.11368954830783}
2024-09-02T14:41:39.28553565Z,{"lat":-37.822065668936425,"lon":145.1136950050625}
2024-09-02T14:41:40.295703094Z,{"lat":-37.822062646842944,"lon":145.11369321154524}
2024-09-02T14:41:41.309951774Z,{"lat":-37.8220632897807,"lon":145.11369504182298}
2024-09-02T14:41:42.324503277Z,{"lat":-37.822064298540155,"lon":145.11369958880493}
2024-09-02T14:41:43.344853359Z,{"lat":-37.82206322497896,"lon":145.11369999873622}
2024-09-02T14:41:44.357987666Z,{"lat":-37.82206082316989,"lon":145.1136974092945}
2024-09-02T14:41:45.372400007Z,{"lat":-37.82206307370057,"lon":145.11369265493278}
2024-09-02T14:41:46.389566978Z,{"lat":-37.82206732851905,"lon":145.11370187629942}
2024-09-02T14:41:47.404317303Z,{"lat":-37.82206414336803,"lon":145.11369910507875}
2024-09-02T14:41:48.420479226Z,{"lat":-37.82206322339587,"lon":145.11369266884108}
2024-09-02T14:41:49.436991464Z,{"lat":-37.822066219565336,"lon":145.11369380154179}
2024-09-02T14:41:50.45116872Z,{"lat":-37.822062376289644,"lon":145.11369697181362}
2024-09-02T14:41:51.465820587Z,{"lat":-37.822061630940496,"lon":145.11369635238154}
2024-09-02T14:41:52.480803481Z,{"lat":-37.8220640852383,"lon":145.11369567886132}
2024-09-02T14:41:53.498306112Z,{"lat":-37.82206179718557,"lon":145.1136974835204}
2024-09-02T14:41:54.513959869Z,{"lat":-37.82205774851423,"lon":145.11370076983954}
2024-09-02T14:41:55.527292597Z,{"lat":-37.822056250051276,"lon":145.11370106151435}
2024-09-02T14:41:56.542211274Z,{"lat":-37.82205055786528,"lon":145.11369945588928}
2024-09-02T14:41:57.560191711Z,{"lat":-37.82205786606075,"lon":145.11370002353468}
2024-09-02T14:41:58.571846294Z,{"lat":-37.822057747393266,"lon":145.1137026529313}
2024-09-02T14:41:59.588055913Z,{"lat":-37.82206191516242,"lon":145.11369493673598}
2024-09-02T14:42:00.603980937Z,{"lat":-37.82206238155159,"lon":145.1136987523818}
2024-09-02T14:42:01.620706829Z,{"lat":-37.82206267118093,"lon":145.11369666928377}
