timestamp,data-value
2024:09:03:12:28:06,-0.994842529296875
2024:09:03:12:28:09,-0.997222900390625
2024:09:03:12:28:12,-0.9959259033203125
2024:09:03:12:28:19,-0.995452880859375
2024:09:03:12:28:22,-0.9950714111328125
2024:09:03:12:28:25,-0.995819091796875
2024:09:03:12:28:32,-0.9958648681640625
2024:09:03:12:28:35,-0.9948272705078125
2024:09:03:12:28:38,-0.9974365234375
2024:09:03:12:28:46,-0.996246337890625
2024:09:03:12:28:49,-0.9961395263671875
2024:09:03:12:28:52,-0.997344970703125
2024:09:03:12:28:59,-0.9975738525390625
2024:09:03:12:29:02,-0.995941162109375
2024:09:03:12:29:05,-0.9949798583984375
2024:09:03:12:29:12,-0.996795654296875
2024:09:03:12:29:15,-0.9963226318359375
2024:09:03:12:29:18,-0.9961700439453125
2024:09:03:12:29:31,-0.995574951171875
2024:09:03:12:29:45,-0.9967803955078125
2024:09:03:12:29:48,-0.99615478515625
2024:09:03:12:29:51,-0.99462890625
2024:09:03:12:29:54,-0.9949493408203125
2024:09:03:12:29:57,-0.996612548828125
2024:09:03:12:30:00,-0.996734619140625
2024:09:03:12:30:03,-0.995269775390625
2024:09:03:12:30:09,-0.9962615966796875
2024:09:03:12:30:13,-0.996063232421875
2024:09:03:12:30:16,-0.9958038330078125
2024:09:03:12:30:23,-0.995880126953125
2024:09:03:12:30:26,-0.9969024658203125
2024:09:03:12:30:29,-0.9959869384765625
2024:09:03:12:30:37,-0.995941162109375
2024:09:03:12:30:40,-0.9952850341796875
2024:09:03:12:30:43,-0.9956512451171875
2024:09:03:12:30:50,-0.9948577880859375
2024:09:03:12:30:53,-0.994842529296875
2024:09:03:12:30:56,-0.996551513671875
2024:09:03:12:31:03,-0.9966583251953125
2024:09:03:12:31:07,-0.9962158203125
2024:09:03:12:31:10,-0.99615478515625
2024:09:03:12:31:17,-0.99517822265625
2024:09:03:12:31:20,-0.9965667724609375
2024:09:03:12:31:23,-0.9956207275390625
2024:09:03:12:31:32,-0.9951171875
2024:09:03:12:31:35,-0.995513916015625
2024:09:03:12:31:38,-0.99383544921875
2024:09:03:12:31:45,-0.99639892578125
2024:09:03:12:31:48,-0.994781494140625
2024:09:03:12:31:51,-0.9976348876953125
2024:09:03:12:31:57,-0.994781494140625
2024:09:03:12:32:01,-0.9951171875
