timestamp,x,y,z
2024-09-04 11:02:11.365102,-0.06,-0.67,-0.18
2024-09-04 11:02:12.710395,-0.18,-0.79,-0.43
2024-09-04 11:02:13.528179,-0.37,-0.92,-0.55
2024-09-04 11:02:14.407936,-0.12,-0.73,-0.43
2024-09-04 11:02:15.376113,-0.06,-0.67,-0.24
2024-09-04 11:02:16.371783,-0.24,-0.79,-0.43
2024-09-04 11:02:17.629818,-0.24,-0.79,-0.55
2024-09-04 11:02:18.386292,-0.24,-0.85,-0.55
2024-09-04 11:02:19.479934,-0.31,-0.79,-0.49
2024-09-04 11:02:20.655604,-0.24,-0.79,-0.55
2024-09-04 11:02:21.407382,-0.24,-0.85,-0.43
2024-09-04 11:02:22.443079,-0.43,-0.98,-0.67
2024-09-04 11:02:23.563579,-0.24,-0.73,-0.43
2024-09-04 11:02:24.487414,-0.24,-0.79,-0.43
2024-09-04 11:02:25.827686,-0.37,-0.92,-0.61
2024-09-04 11:02:26.533149,-0.12,-0.73,-0.43
2024-09-04 11:02:27.453984,-0.24,-0.85,-0.43
2024-09-04 11:02:28.566530,-0.31,-0.85,-0.55
2024-09-04 11:02:29.514484,-0.18,-0.73,-0.37
2024-09-04 11:02:30.940752,-0.24,-0.79,-0.43
2024-09-04 11:02:31.550545,-0.18,-0.79,-0.43
2024-09-04 11:02:32.576865,-0.18,-0.79,-0.37
2024-09-04 11:02:33.469135,-0.37,-0.92,-0.73
2024-09-04 11:02:34.571698,-0.24,-0.79,-0.43
2024-09-04 11:02:35.525934,-0.18,-0.73,-0.43
2024-09-04 11:02:36.487679,-0.24,-0.79,-0.43
2024-09-04 11:02:37.629112,-0.12,-0.73,-0.37
2024-09-04 11:02:38.516429,-0.31,-0.85,-0.49
2024-09-04 11:02:39.640032,-0.31,-0.92,-0.55
2024-09-04 11:02:40.513219,-0.12,-0.67,-0.31
2024-09-04 11:02:42.097149,-0.31,-0.85,-0.55
2024-09-04 11:02:42.536416,-0.24,-0.79,-0.49
2024-09-04 11:02:43.531024,-0.24,-0.79,-0.49
2024-09-04 11:02:44.762844,-0.31,-0.85,-0.49
2024-09-04 11:02:45.536460,-0.18,-0.73,-0.49
2024-09-04 11:02:46.552362,-0.31,-0.85,-0.49
2024-09-04 11:02:47.579375,-0.24,-0.79,-0.49
2024-09-04 11:02:48.568576,-0.24,-0.79,-0.43
2024-09-04 11:02:49.780410,-0.24,-0.79,-0.43
2024-09-04 11:02:50.561045,-0.24,-0.79,-0.49
2024-09-04 11:02:51.591360,-0.24,-0.85,-0.49
2024-09-04 11:02:52.719066,-0.18,-0.79,-0.43
2024-09-04 11:02:53.580739,-0.18,-0.79,-0.43
2024-09-04 11:02:54.590847,-0.12,-0.67,-0.37
2024-09-04 11:02:55.717988,-0.37,-0.85,-0.61
2024-09-04 11:02:56.584901,-0.12,-0.73,-0.31
2024-09-04 11:02:58.173681,-0.24,-0.79,-0.49
2024-09-04 11:02:58.713761,-0.37,-0.85,-0.61
2024-09-04 11:02:59.709648,-0.18,-0.73,-0.49
2024-09-04 11:03:00.647007,-0.31,-0.79,-0.55
2024-09-04 11:03:01.866557,-0.24,-0.85,-0.49
2024-09-04 11:03:02.649703,-0.24,-0.79,-0.55
2024-09-04 11:03:03.804971,-0.24,-0.79,-0.43
2024-09-04 11:03:04.656922,-0.31,-0.85,-0.49
2024-09-04 11:03:05.674187,-0.24,-0.79,-0.43
2024-09-04 11:03:06.701546,-0.37,-0.85,-0.49
2024-09-04 11:03:07.862696,-0.24,-0.85,-0.49
2024-09-04 11:03:08.925373,-0.18,-0.73,-0.43
2024-09-04 11:03:09.847050,-0.24,-0.79,-0.49
2024-09-04 11:03:10.768596,-0.24,-0.73,-0.43
2024-09-04 11:03:11.896038,-0.37,-0.85,-0.61
2024-09-04 11:03:12.740120,-0.31,-0.85,-0.49
2024-09-04 11:03:14.355686,-0.06,-0.67,-0.31
2024-09-04 11:03:14.800770,-0.31,-0.85,-0.49
2024-09-04 11:03:15.786381,-0.31,-0.79,-0.55
2024-09-04 11:03:16.723894,-0.31,-0.85,-0.49
2024-09-04 11:03:17.834118,-0.18,-0.73,-0.37
2024-09-04 11:03:18.755698,-0.49,-0.98,-0.67
2024-09-04 11:03:19.731430,-0.18,-0.73,-0.49
2024-09-04 11:03:20.907492,-0.31,-0.85,-0.43
2024-09-04 11:03:21.827961,-0.31,-0.85,-0.55
