#group,false,false,false,false
#datatype,dateTime:RFC3339,double,double,double
#default,,,,
,time,x,y,z
,2024-09-04T10:50:58.636474Z,-0.12,-0.73,-0.37
,2024-09-04T10:50:59.747949Z,-0.06,-0.73,-0.37
,2024-09-04T10:51:00.974798Z,-0.49,-0.85,-0.37
,2024-09-04T10:51:01.654425Z,-0.67,-0.79,-0.43
,2024-09-04T10:51:02.715795Z,-0.55,-0.79,-0.37
,2024-09-04T10:51:03.743293Z,-0.18,-0.79,-0.37
,2024-09-04T10:51:04.867681Z,-0.12,-0.73,-0.37
,2024-09-04T10:51:05.787372Z,0.12,-0.73,-0.37
,2024-09-04T10:51:06.812289Z,-0.61,-0.79,-0.43
,2024-09-04T10:51:07.690743Z,-0.49,-0.85,-0.37
,2024-09-04T10:51:08.85935Z,-0.49,-0.79,-0.37
,2024-09-04T10:51:10.158648Z,0,-0.73,-0.37
,2024-09-04T10:51:10.82304Z,-0.31,-0.79,-0.37
,2024-09-04T10:51:11.704352Z,0.06,-0.73,-0.37
,2024-09-04T10:51:12.713815Z,-0.18,-0.73,-0.37
,2024-09-04T10:51:13.774538Z,-0.55,-0.79,-0.43
,2024-09-04T10:51:14.713217Z,-0.37,-0.79,-0.37
,2024-09-04T10:51:15.752398Z,0,-0.73,-0.37
,2024-09-04T10:51:16.752169Z,-0.18,-0.79,-0.43
,2024-09-04T10:51:17.778501Z,-0.43,-0.79,-0.37
,2024-09-04T10:51:18.894405Z,0.06,-0.73,-0.37
,2024-09-04T10:51:19.748476Z,-0.31,-0.79,-0.43
,2024-09-04T10:51:20.858648Z,-0.43,-0.79,-0.43
,2024-09-04T10:51:21.764658Z,-0.18,-0.73,-0.37
,2024-09-04T10:51:22.763305Z,0.06,-0.73,-0.37
,2024-09-04T10:51:23.854415Z,-0.61,-0.85,-0.37
,2024-09-04T10:51:24.784911Z,-0.31,-0.73,-0.37
,2024-09-04T10:51:26.268766Z,-0.67,-0.85,-0.43
,2024-09-04T10:51:26.781835Z,-0.85,-0.85,-0.43
,2024-09-04T10:51:27.907355Z,-0.06,-0.73,-0.37
,2024-09-04T10:51:29.135337Z,-0.12,-0.73,-0.43
,2024-09-04T10:51:29.89703Z,-0.24,-0.79,-0.43
,2024-09-04T10:51:30.874876Z,-0.31,-0.79,-0.43
,2024-09-04T10:51:31.822875Z,0.49,-0.67,-0.37
,2024-09-04T10:51:33.025317Z,-0.24,-0.79,-0.43
,2024-09-04T10:51:33.948911Z,-0.24,-0.73,-0.43
,2024-09-04T10:51:34.836036Z,0.06,-0.79,-0.37
,2024-09-04T10:51:35.994299Z,-0.06,-0.73,-0.43
,2024-09-04T10:51:37.114179Z,-0.37,-0.79,-0.43
,2024-09-04T10:51:37.864726Z,0,-0.73,-0.37
,2024-09-04T10:51:38.861903Z,0,-0.73,-0.43
,2024-09-04T10:51:39.98674Z,-0.31,-0.79,-0.43
,2024-09-04T10:51:41.115165Z,-0.18,-0.79,-0.37
,2024-09-04T10:51:42.376821Z,-0.18,-0.79,-0.43
,2024-09-04T10:51:42.958526Z,-0.18,-0.79,-0.43
,2024-09-04T10:51:43.881621Z,-0.43,-0.79,-0.43
,2024-09-04T10:51:44.946478Z,-0.06,-0.73,-0.37
,2024-09-04T10:51:45.92759Z,-3.97,-3.23,0.24
,2024-09-04T10:51:46.899738Z,-0.24,-0.79,-0.37
,2024-09-04T10:51:47.905609Z,-0.31,-0.79,-0.43
,2024-09-04T10:51:48.999521Z,-0.61,-0.85,-0.43
,2024-09-04T10:51:49.92258Z,-0.06,-0.73,-0.43
,2024-09-04T10:51:51.025398Z,-0.12,-0.79,-0.37
,2024-09-04T10:51:51.925646Z,-0.49,-0.79,-0.43
,2024-09-04T10:51:52.996027Z,-0.55,-0.79,-0.49
,2024-09-04T10:51:53.947704Z,-0.06,-0.73,-0.43
,2024-09-04T10:51:54.939695Z,-0.12,-0.73,-0.43
,2024-09-04T10:51:55.940636Z,-0.43,-0.79,-0.49
,2024-09-04T10:51:57.137534Z,16.11,-30.21,52.25
,2024-09-04T10:51:58.533461Z,10.38,-737.79,252.99
,2024-09-04T10:51:59.140771Z,22.77,2.26,-0.24
,2024-09-04T10:51:59.965509Z,-241.46,-181.34,-73.85
,2024-09-04T10:52:00.99557Z,-0.31,-0.79,-0.43
,2024-09-04T10:52:01.971517Z,-0.06,-0.79,-0.43
,2024-09-04T10:52:02.985519Z,0,-0.79,-0.49
,2024-09-04T10:52:04.008243Z,-0.31,-0.73,-0.43
,2024-09-04T10:52:05.011276Z,-0.12,-0.79,-0.43
,2024-09-04T10:52:06.100106Z,-0.18,-0.79,-0.43
,2024-09-04T10:52:07.330337Z,-0.24,-0.73,-0.43
,2024-09-04T10:52:08.254638Z,-0.18,-0.79,-0.43
,2024-09-04T10:52:09.015543Z,-0.18,-0.79,-0.43
,2024-09-04T10:52:10.196083Z,-0.67,-1.22,-0.73
,2024-09-04T10:52:11.048098Z,-0.24,-0.61,-0.24
,2024-09-04T10:52:12.347339Z,-0.06,-0.55,-0.24
,2024-09-04T10:52:13.03929Z,-0.55,-1.04,-0.79
,2024-09-04T10:52:14.534409Z,-0.12,-0.98,-0.55
,2024-09-04T10:52:15.095395Z,0,-0.61,-0.24
,2024-09-04T10:52:16.180012Z,-0.43,-0.92,-0.55
,2024-09-04T10:52:17.166369Z,-0.18,-0.79,-0.43
,2024-09-04T10:52:18.080424Z,-0.37,-0.85,-0.49
,2024-09-04T10:52:19.207516Z,-0.18,-0.73,-0.37
,2024-09-04T10:52:20.109364Z,-0.18,-0.67,-0.31
,2024-09-04T10:52:21.357478Z,-0.18,-0.73,-0.37
,2024-09-04T10:52:22.091044Z,-0.18,-0.67,-0.43
,2024-09-04T10:52:23.107171Z,-0.12,-0.67,-0.37
,2024-09-04T10:52:24.225063Z,-0.24,-0.79,-0.43
,2024-09-04T10:52:25.351093Z,-0.18,-0.67,-0.31
,2024-09-04T10:52:26.170386Z,-0.24,-0.73,-0.43
,2024-09-04T10:52:27.421482Z,-0.18,-0.79,-0.49
,2024-09-04T10:52:28.150507Z,-0.31,-0.92,-0.55
,2024-09-04T10:52:29.415203Z,-0.06,-0.67,-0.37
,2024-09-04T10:52:30.605163Z,-0.24,-0.79,-0.43
,2024-09-04T10:52:31.291141Z,-0.12,-0.79,-0.49
,2024-09-04T10:52:32.21303Z,0.06,-0.37,-0.18
